institution_name,registration_number,registration_number_as_shown,accreditation_status,ownership_type,institution_category,region,district/council,physical_location,website,phone_numbers,email,application_method,has_form_four_direct_programme,official_source_url,source_type,secondary_source_url,secondary_source_type,tcu_matched_name,confidence_level,last_verified_date,notes
MWANZA BAPTIST INSTITUTE,REG/BTP/112,(REG/BTP/112),unknown,private,business,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MWANZA COLLEGE OF HEALTH AND ALLIED SCIENCES - MWANZA,REG/HAS/075-J,(REG/HAS/075-J),unknown,public,health,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MWANZA POLYTECHNIC INSTITUTE - MASWA,REG/PWF/051,(REG/PWF/051),unknown,private,health,Simiyu,Maswa District Council,Maswa District Council - Simiyu,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MWENGE CATHOLIC UNIVERSITY,U/SAT/20 AND U/BTP/20,(U/SAT/20 AND U/BTP/20),Accredited,private,business,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Mwenge Catholic University (MWECAU),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Mwenge Catholic University (MWECAU)'.
MWENGE COMMUNITY COLLEGE - ZANZIBAR,REG/BTP/157P,(REG/BTP/157P),unknown,private,business,Zanzibar Urban/West,Magharibi District,Magharibi District - Zanzibar Urban/West,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MZUMBE UNIVERSITY,MU,(MU),Accredited and Chartered,public,mixed,Morogoro,Mvomero District Council,Mvomero District Council - Morogoro,,,,direct institution,no,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Mzumbe University (MU),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Mzumbe University (MU)'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
MZUMBE UNIVERSITY - MBEYA COLLEGE,MU; MMB,(MU) (MMB),Accredited,public,business,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,no,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Mzumbe University - Mbeya Campus College,high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Mzumbe University - Mbeya Campus College'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
NACHINGWEA SCHOOL OF NURSING,REG/NACTVET/0278,(REG/NACTVET/0278),unknown,public,health,Lindi,Nachingwea District Council,Nachingwea District Council - Lindi,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NATIONAL COLLEGE OF TOURISM (NCT) - TEMEKE,REG/ANE/015,(REG/ANE/015),unknown,public,mixed,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NATIONAL COLLEGE OF TOURISM - ARUSHA,REG/ANE/023,(REG/ANE/023),unknown,public,mixed,Arusha,Arusha City Council,Arusha City Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NATIONAL COLLEGE OF TOURISM - BUSTANI,REG/ANE/037,(REG/ANE/037),unknown,public,mixed,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NATIONAL COLLEGE OF TOURISM - MWANZA,REG/BTP/122,(REG/BTP/122),unknown,public,mixed,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NATIONAL INSTITUTE OF TRANSPORT (NIT),REG/EOS/009,(REG/EOS/009),unknown,public,mixed,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NATIONAL METEOROLOGICAL TRAINING CENTRE - KIGOMA,REG/EOS/025,(REG/EOS/025),unknown,public,mixed,Kigoma,Kigoma-Ujiji Municipal Council,Kigoma-Ujiji Municipal Council - Kigoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NATIONAL SUGAR INSTITUTE - KIDATU,REG/EOS/020,(REG/EOS/020),unknown,public,mixed,Morogoro,Kilosa District Council,Kilosa District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NDANDA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/065,(REG/HAS/065),unknown,religious,health,Mtwara,Masasi District Council,Masasi District Council - Mtwara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NDOLAGE INSTITUTE OF HEALTH SCIENCES,REG/HAS/009,(REG/HAS/009),unknown,religious,health,Kagera,Muleba District Council,Muleba District Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NEW MAFINGA HEALTH AND ALLIED INSTITUTE,REG/HAS/145,(REG/HAS/145),unknown,private,health,Iringa,Mafinga Town Counci,Mafinga Town Counci - Iringa,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NEWALA SCHOOL OF NURSING,REG/HAS/043,(REG/HAS/043),unknown,public,health,Mtwara,Newala District Council,Newala District Council - Mtwara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NGUDU SCHOOL OF ENVIRONMENTAL HEALTH SCIENCES,REG/HAS/058,(REG/HAS/058),unknown,public,health,Mwanza,Kwimba District Council,Kwimba District Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NJOMBE INSTITUTE OF HEALTH AND ALLIED SCIENCES (NJIHAS),REG/HAS/046,(REG/HAS/046),unknown,public,health,Njombe,Njombe District Council,Njombe District Council - Njombe,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
"NJUWENI INSTITUTE OF HOTEL, CATERING AND TOURISM MANAGEMENT - KIBAHA",REG/ANE/016,(REG/ANE/016),unknown,private,tourism/hospitality,Pwani,Kibaha District Counci,Kibaha District Counci - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NKINGA INSTITUTE OF HEALTH SCIENCES,REG/HAS/013,(REG/HAS/013),unknown,religious,mixed,Tabora,Igunga District Council,Igunga District Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NLAB INNOVATION ACADEMY,REG/SAT/043,(REG/SAT/043),unknown,private,ICT,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NOBLE TRUST COLLEGE,REG/BTP/205,(REG/BTP/205),unknown,private,mixed,Arusha,Arumeru District Council,Arumeru District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NOBO COLLEGE,REG/HAS/192N,(REG/HAS/192N),unknown,private,health,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NOFOTA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/269P,(REG/HAS/269P),unknown,private,health,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NORTHERN COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/199,(REG/HAS/199),unknown,private,health,Kilimanjaro,Moshi Municipal Council,Moshi Municipal Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NSHAMBYA INSTITUTE OF EDUCATION,REG/PWF/054,(REG/PWF/054),unknown,private,mixed,Kagera,Bukoba Municipal Council,Bukoba Municipal Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NYAISHOZI COLLEGE OF HEALTH AND ALLIED SCIENCIES,REG/HAS/212,(REG/HAS/212),unknown,private,health,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
NZEGA NURSING SCHOOL,REG/HAS/111,(REG/HAS/111),unknown,public,health,Tabora,Nzega District Council,Nzega District Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
